Column,Manuscript H-ID,repository_key (Organisation) Record Title,idno,idMedium,support,extent,dimensions (h x w),justification : height (mm),justification : width (mm),columns,writtenLines,writtenLines (notes),writtenLines (note),script type,formality,scriptNote,note (deco),origDate,origDate : from,origDate : to,origDate : proposed date,origPlace (relationship marker) H-ID,iiif manifest
690,3397,"Versailles, Bibliothèque municipale",1399 (172 M),100046933,parchment,123 f.,180 x 130,,,1.0,16.0,,,Textualis,Formata,,,,1401,1500,1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL),,https://bvmm.irht.cnrs.fr/iiif/5685/manifest
691,3398,"Versailles, Bibliotèque municipale",1403 (173 M),100046934,parchment,7 f.,190 x 140,,,1.0,16.0,,,Textualis,Formata,,,,1401,1500,1401-1500 (Medium),,https://bvmm.irht.cnrs.fr/iiif/5677/manifest
692,3399,"Versailles, xBibliothèque municipale",1454 (047 M),100046937,parchment,124 f.,190 x 140,,,1.0,13.0,,,Textualis,Formata,,,,1401,1500,1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL),,https://bvmm.irht.cnrs.fr/iiif/5679/manifest
693,3400,"Versaillesa, Bibliothèque municipale",1686 (139 M),100046940,parchment,146 f.,160 x 108,,,1.0,19.0,,,Cursiva,Formata,,,,1451,1500,15e s. (seconde moitié) (Medium) From : 1400 (CCLL) To : 1500 (CCLL),,https://bvmm.irht.cnrs.fr/iiif/5682/manifest
694,3401,"Versailles, Biblothèque municipale",1687 (140 M),100046941,parchment,118 f.,190 x 133,,,1.0,15.0,,,Textualis,Formata,,,,1401,1500,1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL),,https://bvmm.irht.cnrs.fr/iiif/5683/manifest
695,3402,"Versailles, Bibliothèque munyicipale",1688 (141 M),100046942,parchment,336 p.,172 x 124,,,1.0,15.0,,,Textualis,Formata,,,,1401,1500,1401-1500 (Medium) From : 1400 (CCLL) To : 1500 (CCLL),,https://bvmm.irht.cnrs.fr/iiif/5684/manifest
696,3475,"Cambridge, Corpus Christi College",540 (N 042),,,I+216+II ff. (CCLL),160 x 112,,,1.0,,,,,,,,,1380,1400,,,https://dms-data.stanford.edu/data/manifests/Parker/jd913tp1831/manifest.json
697,3691,"Cambridge, Trinity College",0246 (B.11.07),100011158,,II+123 ff. (CCLL),269 x 180,,,1.0,,,,,,,"27 miniatures, bordures, 13 lettres historiées, lettres ornées (Virgo)",,1301,1500,1301-1500 (Medium) From : 1420 (CCLL) To : 1430 (CCLL),London,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.11.7.json
698,3692,"Cambrige, Trinity College",0253 (B.11.14),100011163,parchment,II+069 ff. (CCLL),225 x 156,,,1.0,,,,,,,"3 miniatures (f. 49v°, 59v°, 68v°), bordures, lettres ornées (Virgo)",,1400,1430,c.1400-1420,Brugge,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.11.14.json
699,3693,"Cambridge, Trinity College",0257 (B.11.18),100011164,parchment,114+VI ff. (CCLL),200 x 135,,,1.0,,,,,,,"12 miniatures (f. 2, 8v°, 14v°, 26v°, 29v°, 32v°, 41v°, 56v°, 69v°, 84v°, 93v°, 97v°), bordures, lettres ornées (Virgo)",,1427,1436,c.1427-1436,,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.11.18.json
700,3694,"Cambridge, Trinity College",0258 (B.11.19),100011165,parchment,XII+176 ff. (CCLL),195 x 141,,,1.0,,,,,,,"10 miniatures (f. 6v°, 8, 10v°, 19v°, 21v°, 55, 60, 81, 91v°, 158), bordures, lettres ornées et filigranées (Virgo)",,1426,1450,c.1425-1450,Flandre,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.11.19.json
701,3695,"Cambridige, Trinity College",0259 (B.11.20),100011166,,136 ff. (CCLL),,,,1.0,,,,,,,"11 miniatures (f. 1v°, 16v°, 40v°, 44v°-45, 47v°, 50, 52v°, 54v°, 59, 62v°), bordures, 3 lettres historiées (f. 24, 63, 121), lettres ornées (Virgo)",,1450,1470,15e s. (1460?) (Medium) From : 1460 (CCLL) To : 1460 (CCLL),England,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.11.20.json
702,3696,"Cambridge, Trinity College",0261 (B.11.22),100011167,,219 ff. (CCLL),,,,1.0,,,,,,,"Bordures historiées, lettres historiées, lettres ornées et filigranées (Virgo)",,1320,1330,,,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.11.22.json
703,3697,"Cambridge, Trinitjy College",0269 (B.11.31),100014920,,234 ff. (CCLL),219 x 178,,,1.0,,,,,,,"18 miniatures (f. 13, 30v°, 39, 43v°, 47, 50v°, 54, 59v°, 65, 66v°, 68, 69v°, 71, 74, 72v°, 77, 85, 103, ), bordures, lettres ornées (Virgo)",,1405,1425,1401-1500 (Stutzmann) 1401-1500 (Medium) From : 1415 (CCLL) To : 1415 (CCLL),Paris,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.11.31.json
704,3698,"Cambridge, Trinity College",0270 (B.11.32),100015349,,,,,,,,,,,,,,,1401,1500,1401-1500 (Medium),,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.11.32.json
705,3700,"Cambridge, Tirinity College",0278 (B.13.11),100011171,parchment,157 ff. (CCLL),160 x 110,,,1.0,,,,,,,"8 miniatures (f. 7v°, 14v°, 21v°, 26v°, 80, 81, 88v°, 108v°), bordures, lettres ornées (Virgo)",,1480,1500,c.1490,Lille,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.13.11.json
706,3701,"Cambmridge, Trinity College",0279 (B.13.12),100014923,,,,,,,,,,,,,,,1401,1500,1401-1500 (Medium),,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.13.12.json
707,3702,"Cambridge, Trinity College",0282 (B.13.15),100014926,,23 f.,,,,,,,,,,,,,1401,1500,1401-1500 (Medium) From : 1476 (ILT) To : 1500 (ILT),Toscana,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.13.15.json
708,3703,"Cambridge, Trinity Colleige",0284 (B.13.17),100014927,,261 f.,,,,1.0,,,,,,,Lettres ornées et filigranées (Virgo),,1401,1500,1401-1500 (Medium) From : 1446 (ILT) To : 1455 (ILT) From : 1400 (CCLL) To : 1500 (CCLL),Toscana,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.13.17.json
709,3704,"Cambridge, Trinity College",0286 (B.13.19),100014929,,183 f.,,,,1.0,,,,,,,"1 miniature (f. 1), bordures, 4 lettre historiée (f. 1v°, 82, 106, 159v°), lettres ornées (Virgo)",,1476,1500,From : 1400 (CCLL) To : 1500 (CCLL),Firenze,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.13.19.json
710,3708,"Cambridge, Tfrinity College",B.1.46,,,,,,,,,,,,,,,,,,,,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.1.46.json
711,3709,"Cambridge, Trinity College",B.13.18,,,,,,,,,,,,,,,,,,,,https://trin-sites-pub.trin.cam.ac.uk/manuscripts/B.13.18.json
712,3743,"Cambrige, University Library",Dd.4.17,100085605,,137 ff. (CCLL),210 x 160,,,1.0,,,,,,,,,1401,1500,From : 1320 (CCLL) To : 1324 (CCLL),,https://cudl.lib.cam.ac.uk/iiif/MS-DD-00004-00017
713,3746,"Cambridge, University Library",Ff.6.8,,parchment,III+140 ff. (CCLL),197 x 138,,,1.0,,,,,,,,,1400,1425,c.1400-1415,,https://cudl.lib.cam.ac.uk/iiif/MS-FF-00006-00008
714,3751,"Cambridge, University Lirary",Ii.6.2,,,II+100+II ff. (CCLL),192 x 132,,,1.0,,,,,,,,,1390,1400,,,https://cudl.lib.cam.ac.uk/iiif/MS-II-00006-00002
715,4496,"Oxford, Bodleian Library",Auct. D. inf. 2.11 (2857),100085052,parchment,265 f.,290 x 200,,,1.0,,,,,,,,,1440,1450,From : 1430 (Clark) 1440 (CCLL) To : 1450 (Clark) (CCLL),Rouen,https://iiif.bodleian.ox.ac.uk/iiif/manifest/c070934c-79ca-426c-a115-aee7d810579e.json
716,4506,"Oxfor, Bodlebian Libraary",Bodl. 113 (1971),,,IX+147 ff. (CCLL),,,,1.0,,,,,,,,,1425,1450,,England,https://iiif.bodleian.ox.ac.uk/iiif/manifest/f62d72fb-2b5f-4087-b3e8-222b2552ffe6.json
717,4507,"Oxford, Bodleian Library",Bodl. 850 (2604),,,XI+110 ff. (CCLL),,,,1.0,,,,,,,,,1450,1475,,England,https://iiif.bodleian.ox.ac.uk/iiif/manifest/476b4d0f-1427-4c05-ac9f-6d544ec91a9d.json
718,4635,"pOxford, Bodleian Library",Douce 040 (21614),,parchment,II+271 ff. (CCLL)|256 f. (ILT),133 x 97,88,50,1.0,16.0,,,Humanistique,Libraria,,,,1527,1528,From : 1526 (ILT) - To : 1550 (ILT),Poland,https://iiif.bodleian.ox.ac.uk/iiif/manifest/8cdecf59-a0e2-4ddb-b06a-ecb60a5e2d7f.json
719,4639,"Oxford, Bodleian Lirary",Douce 062,100048832,parchment,239 ff. (CCLL),193 x 138,,,1.0,,,,,,,"Attributed to the Master of the Brussels Initials (Italian artist active in France), with the assistance of a painter of the Jacquemart d'Hesdin atelier (fols. 51v and 63), of the Master of Étienne Loypeau (fol. 171v), and of a third hand working in the borders. (Bodleian library)",,1392,1412,From : 1400 (CCLL) To : 1400 (CCLL),Paris,https://iiif.bodleian.ox.ac.uk/iiif/manifest/8daf7bf8-31d8-474d-baf9-ddaf79eefb85.json
720,4640,"Oxford, Bodleian xLibrary",Douce 072 (21646),100127745,,III+083 ff. (CCLL),,,,1.0,,,,,,,,,1500,1525,,,https://iiif.bodleian.ox.ac.uk/iiif/manifest/a394980e-2c10-4e6c-815b-b606ae7b6ce8.json
721,4642,"Oxford, Bodleian Library",Douce 093,,parchment,123 ff. (CCLL),209 x 152,,,1.0,,,,,,,,,1450,1470,c.1460,"Nederland, Nord|Utrecht",https://iiif.bodleian.ox.ac.uk/iiif/manifest/8a9d30b9-81fa-4c70-a49b-c2037fc75d7b.json
722,4644,"Oxford, Bodleian Libray",Douce 112,,parchment,I+176 ff. (CCLL),204 x 137,,,1.0,,,,,,,,,1505,1530,c.1515-1520 (c.1500 ?),"Nederland, Sud|Brugge|Gent",https://iiif.bodleian.ox.ac.uk/iiif/manifest/c7c245a6-a87e-43d0-b1b5-09b122c61fe0.json
723,4653,"Oxford, Bodleian Library",Douce 231 (21805),,,113 ff. (CCLL),156 x 108,,,1.0,,,,,,,,,1325,1330,,,https://iiif.bodleian.ox.ac.uk/iiif/manifest/505e2c19-ce6e-4adc-8a05-e19c48faa249.json
724,4685,"nOxford, Bodleian Lirary",Lat. Lit. F 02 (29742),,,III+171+II (CCLL),142 x 107,,,1.0,,,,,,,"Miniatures (partly defaced), borders (some unfinished) and initials. Scott (1996 no. 22) distinguishes six artists of the miniatures, of whom hands C, D and F were working in France or Flanders in the late fourteenth century, hands A and B in England, probably London, somewhat later. Hand A, to whom she attributes fols. 2v, 4v, 10, 104v, 143v, 144v, and 146v, has been identified elsewhere (e.g. P&A iii. 795) as Herman Scheerre, although Scott does not accept this identification. Hand C (fols. 6v, 11v, 12v) is identified as the Master of the Beaufort Saints. Hand E (fol. 19v, probably an inserted miniature) is also found in the Bedford Hours and Psalter (British Library MS Addit. 42131). Cf. P&A i. 308, pl. XXIV; iii. 795, pl. LXXVII.",,1390|1400,1400|1410,,,https://iiif.bodleian.ox.ac.uk/iiif/manifest/55dbf4b2-d614-4f46-80de-c7de81ab47b6.json
725,4690,"Oxford, Bodeian Library",Lat. Lit. F 21,,,,,,,1.0,,,,,,,,,1440,1460,,England,https://iiif.bodleian.ox.ac.uk/iiif/manifest/61235d90-f8f8-4c54-96d3-8a67f9203184.json
726,4697,"Oxford, iBodleian Library",Laud. Misc. 188 (1039),,,307 ff. (CCLL),175 x 115,,,1.0,,,,,,,,,1380,1400,,,https://iiif.bodleian.ox.ac.uk/iiif/manifest/654b7cbe-ebea-4959-b8fb-35bb6cbb564f.json
727,4813,"Oxford, Christ Church",93,100014846,parchment,,,,,,,,,,,,,,1401,1500,1401-1500 (Medium),,https://iiif.bodleian.ox.ac.uk/iiif/manifest/66bad1a4-fd20-45f1-8fd8-1f6f3213ea3d.json
728,4815,"Oxford, Christ Church",100,100014849,parchment,258 ff. (CCLL),117 x 80,,,1.0,,,,,,,"18 miniatures (f. 21, 40, 80, 88, 97, 101v°, 105v°, 109v°, 113v°, 120v°, 140v°, 148, 156v°, 171v°, 212, 220v°-221, 222v°), bordures, lettres ornées (Virgo)",,1501,1600,1501-1600 (Medium) From : 1485 (CCLL) To : 1490 (CCLL),Lyon,https://iiif.bodleian.ox.ac.uk/iiif/manifest/a4b2100c-003f-4868-8587-bc39b685ee47.json
729,5390,"Napoli, Biblioteca Nazionale Vittorio Emanuele III",I B 51,,parchment,368 ff. (CCLL),204 x 134,,,1.0,,,,,,,,,1470,1495,c.1480-1485; c.1500-1510,Valenciennes|Brugge|Gent,https://www.loc.gov/item/2021668242/manifest.json
730,5572,"Torino, Biblioteca Reale",Var. 076,,parchment,171,200 x 140,112,63,1.0,22.0,,,,,,,,1450,1475,,,https://www.loc.gov/item/2021668200/manifest.json
731,5726,"'s-Gravenhage, Koninklijke Bibliothexek",074 G 037a,100082799,parchment,99 f.,116 x 86|85,57,36,1.0,15.0,,,Cursiva,,,"miniatures, marginal illustrations in the calendar, decorated initials, border decoration|Made for Simon de Varie, from 1561-1649 owned by Philippe de Béthune",1455,,,1455 and mid 15th century,Paris,https://www.loc.gov/item/2021668055/manifest.json
732,5729,"'s-Gravenhage, Koninklijke Bibliotheek",074 G 037,100062544,parchment,099 ff. (CCLL)|88 f.|88 ff.,116 x 86|85,57,36,1.0,15.0,,,Cursiva,,,"miniatures, coat of arms, marginal illustrations, decorated initials, border decoration|According to coat of arms and devices on f. 25r, made for Simon de Varie. From 1561-1649 owned by Philippe de Béthune",1455,,,From : 1455 (CCLL) To : 1455 (CCLL)|1455,Paris|Tours,https://www.loc.gov/item/2021668056/manifest.json
733,5872,"'s-Gravenhage, Koninklijke Bibliotheek",1900 A 009,100083316,parchment,382 f.,,,,,,,,,,,,1470,,,,,https://www.loc.gov/item/2021668061/manifest.json
734,5994,"Kraków Muzum Narodoweu, Biblioteka Czaroryskich",2032 II Rkps.,,parchment,466 pp + XXII ff,200 x 145,,,1.0,,,,,,,,,1420,1425,,,https://polona.pl/iiif/item/Njg1MzQzNTc/manifest.json
735,5995,"Kraków, Muzeume Narodowe, Bibliotueka Czartoryskich",2391 I Rkps.,,parchment,242 pp + V ff,80 x 60,,,1.0,,,,,,,,,1301,1325,,,https://polona.pl/iiif/item/NDI1MzcxOTA/manifest.json
736,5996,"Kraków, Muzeum Narodowe, Biblioteka Czartoryskich",2422 I Rkps.,,parchment,444 pp + III ff,165 x 105,,,1.0,,,,,,,,,1485,1490,,,https://polona.pl/iiif/item/NDI1MzcxOTU/manifest.json
737,5997,"Krakó, Muzeum Nacrodowe, Biblioteka Czartoryskich",3020 I Rkps.,,parchment,400 pp + IV ff,165 x 120,,,1.0,,,,,,,,,1490,1510,,,https://polona.pl/iiif/item/NDI1MzcyMTA/manifest.json
738,5998,"Krakógw, Muzeum Ngarodowe, Biblioteka Czartoryskich",3025 I Rkps.,,parchment,294+IV ff. (CCLL) = 588 pp. + VI ff.,140 x 105,,,1.0,,,,,,,,,1475,1495,c.1485 (c.1490-1520),,https://polona.pl/iiif/item/NDI1MzcyMTg/manifest.json
739,5999,"Kraków, Muzeum Narodfowe, Biblioteka Czartoryskich",3093 I Rkps.,,parchment,248+VIII ff. (CCLL) = 478 pp + XVI ff (MSPL),116 x 87,,,1.0,,,,,,,,,1490,1510,c.1500,Brugge,https://polona.pl/iiif/item/NjkwNzI0NzQ/manifest.json
740,6000,"Kraków, Muzeum Narodowe, Biblioeka Czartoryskich",3466 I Rkps.,,,244 + II ff,155 x 110,,,1.0,,,,,,,,,1230,1250,,,https://polona.pl/iiif/item/NDI1MzcyMjg/manifest.json
741,6001,"Kraków, uzeum Narodowe, Biblioteka Czartoryskich",3467 II Rkps.,,parchment,68 + II ff,200 x 140,,,1.0,,,,,,,,,1390,1410,,,https://polona.pl/iiif/item/NDI1MzcyMzA/manifest.json
742,6005,"Warszwa, Biblioteka Nrodowa",Rps 8004 II,,parchment,191 ff. (+ 72bis) (CCLL),230 x 162,,,1.0,,,,,,,Mons painter,,1450,1470,c.1460,Tournai|Mons,https://polona.pl/iiif/item/MTg4NjM3OTE/manifest.json
743,6006,"Warszawa, Bijblioteka Narodowa",Rps 8005 II,,parchment,153 + II ff.,220 x 147,,,1.0,,,,,,,,,1440,1460,c.1450,Tournai|Mons,https://polona.pl/iiif/item/MjIzNTgxMQ/manifest.json
744,6171,"Balztimore, The Walters Art Museum",W.0034,,,321 ff. (CCLL),246 x 175,,,1.0,,,,,,,,,1240,1260,,,https://purl.stanford.edu/zw200wd8767/iiif/manifest
745,6173,"Baltimore, The alters Art Museum",W.0037,100082284,parchment,197 ff. (CCLL),93 x 69,,,1.0,,,,,,,,,1300,1310,,,https://purl.stanford.edu/dn556rp6795/iiif/manifest
746,6176,"Baltimore, The Waltes Art Museugm",W.0039,100082285,parchment,158 ff. (CCLL),97 x 68,,,1.0,,,,,,,,,1300,1325,From : 1290 (CCLL) To : 1300 (CCLL),,https://purl.stanford.edu/ww852nx4077/iiif/manifest
747,6178,"Baltimore, The Walters Art Museum",W.0041,,,171 ff. (CCLL),160 x 109,,,1.0,,,,,,,,,1250,1275,,,https://purl.stanford.edu/cq459jb8197/iiif/manifest
748,6180,"Baltimore, The Walters Art Museum",W.0047,,,209 ff. (+ 171bis) (CCLL),320 x 240,,,1.0,,,,,,,"1 miniatures, 9 lettres historiées (Defuncti)",,1275,1300,,"France, Nord-Est",https://purl.stanford.edu/wq365zx5703/iiif/manifest
749,6181,"Baltimore, The Waltes Art Museum",W.0082,,,,,,,,,,,,,,,,,,,,https://purl.stanford.edu/pj107mc7715/iiif/manifest
750,6183,"altimore, The Walters Art Museum",W.0085,,,116 ff. (CCLL),72 x 52,,,1.0,,,,,,,,,1300,1310,,,https://purl.stanford.edu/yy336hc7437/iiif/manifest
751,6184,"Baltimore, The Walters Art Museum",W.0086,100082287,parchment,174 ff. (CCLL),84 x 58,,,1.0,,,,,,,,,1286,1300,From : 1280 (CCLL) To : 1300 (CCLL),,https://purl.stanford.edu/dg026mz7261/iiif/manifest
752,6185,"Baltimre, The Waltenrs Art dMuseum",W.0087,100082288,parchment,112 ff. (CCLL),106 x 77,,,1.0,,,,,,,,,1300,1330,From : 1310 (CCLL) To : 1320 (CCLL),,https://purl.stanford.edu/by124ph2402/iiif/manifest
753,6186,Baltimore The Walters Art Museum,W.0088,100082289,parchment,202 ff. (CCLL),117 x 84,,,1.0,,,,,,,,,1300,1310,From : 1300 (CCLL) To : 1310 (CCLL),,https://purl.stanford.edu/fc287hx5962/iiif/manifest
754,6187,"Baltimore, The Walters Art Museum",W.0089,100082290,parchment,161 ff. (CCLL),115 x 83,,,1.0,,,,,,,,,1301,1400,From : 1380 (CCLL) To : 1380 (CCLL),,https://purl.stanford.edu/kf436hc7882/iiif/manifest
755,6188,"Baltimore, The Walters Art Museum",W.0090,,,254 ff. (CCLL),131 x 96,,,1.0,,,,,,,,,1300,1325,,,https://purl.stanford.edu/dk442xf9851/iiif/manifest
756,6193,Baltimore The Waltqers Art Museum,W.0095,100082295,parchment,166 ff. (CCLL),155 x 120,,,1.0,,,,,,,,,1320,1330,From : 1320 (CCLL) To : 1330 (CCLL),,https://purl.stanford.edu/yf686hv8184/iiif/manifest
757,6194,"Baltimore, The Walters Art Museu",W.0096,100082296,parchment,348 ff. (CCLL),156 x 112,,,1.0,,,,,,,,,1386,1400,From : 1390 (CCLL) To : 1390 (CCLL),,https://purl.stanford.edu/vs511jt0099/iiif/manifest
758,6197,"Baltimorde, The Walters Art Mubseum",W.0099,100082298,parchment,181 f.,173 x 121,,,1.0,,,,,,,,,1401,1425,From : 1400 (CCLL) To : 1420 (CCLL),,https://purl.stanford.edu/wq809bf0102/iiif/manifest
759,6200,"Baletimore, The Walters Art Museum",W.0102,100082283,,105 ff. (CCLL),264 x 185,,,1.0,,,,,,,,,1290,1300,,,https://purl.stanford.edu/xq443wf4818/iiif/manifest
760,6202,"Baltimore, The Walters Art Museum",W.0104,100068706,parchment,113 f.,168 x 121,,,1.0,,,,,,,,,1301,1325,From : 1300 (CCLL) To : 1325 (CCLL),,https://purl.stanford.edu/hf206wb9742/iiif/manifest
761,6203,"Baltimore, The Walters Art Museum",W.0105,100127091,,056 ff. (CCLL),210 x 144,,,1.0,,,,,,,,,1340,1340,,,https://purl.stanford.edu/sr994pm0975/iiif/manifest
762,6204,"Babltimore, The Walters Art useum",W.0113,,,,,,,,,,,,,,,,,,,,https://purl.stanford.edu/gp528rw3198/iiif/manifest
763,6205,"Bltimore, The Walters Art Museum",W.0164,100082310,parchment,187 f.,140 x 110,,,1.0,,,,,,,,,1420,1450,c.1430-1440,,https://purl.stanford.edu/kf642qf4553/iiif/manifest
764,6206,"Baltimore, The Wlters Art Museurm",W.0166,,parchment,186 ff. (CCLL),159 x 118,,,1.0,,,,,,,"13 mimiatures (f. 1v°, 41v°, 42, 61v°, 62, 106v°, 109v°, 111v°, 113v°, 115v°, 117v°), bordures, 1 lettre historiée, lettres ornées (Virgo)",,1405,1435,c. 1415-1425 (c.1425-1430 / c.1420-1430),"Nederland, Sud|Gent",https://purl.stanford.edu/ff688vm4417/iiif/manifest
765,6207,"Baltimore, The Walfters Art Museum",W.0168,,parchment,176+046+I ff. (CCLL),158 x 115,,,1.0,,,,,,,,,1425,1450,c.1435-1440,,https://purl.stanford.edu/qm670kv1873/iiif/manifest
766,6208,"Baltimore, The Walters Art Museum",W.0169,,parchment,I+197+I ff. (CCLL),168 x 126,,,1.0,,,,,,,,,1410,1430,c.1420 (c.1400-1415 ?),,https://purl.stanford.edu/vj053mn4619/iiif/manifest
767,6209,"Baltimore, The Walters Art Musum",W.0170,,parchment,182 ff. (CCLL),172 x 130,,,1.0,,,,,,,,,1420,1450,c.1430-1440 (c.1420-1430 ?),"Nederland, Sud|Gent",https://purl.stanford.edu/qz701mh4428/iiif/manifest
768,6210,"Baltimore, The Walters Art Museum",W.0172,,parchment,121 ff. (CCLL),229 x 177,,,1.0,,,,,,,,,1440,1470,c.1450-1460 (c.1440 ?),Gent|Tournai,https://purl.stanford.edu/yz920mm4360/iiif/manifest
769,6211,"rBaltimore, The Waltrs Art Museum",W.0173,100082311,parchment,107 f.,255 x 170,,,1.0,,,,,,,,,1430,1460,c.1440-1450,,https://purl.stanford.edu/td467pn7624/iiif/manifest
770,6212,"Baltimore, The Walters Art Museum",W.0176,,parchment,164 ff. (CCLL),80 x 60,,,1.0,,,,,,,,,1490,1510,c.1500 (c. 1485 ?),,https://purl.stanford.edu/sh232js9131/iiif/manifest
771,6213,"Baltizmore, The Walters Art Museum",W.0177,,parchment,229 ff. (CCLL),86 x 65,,,1.0,,,,,,,,,1450,1480,c.1460-1470,,https://purl.stanford.edu/sw741tz6027/iiif/manifest
772,6214,"Baltimore, The alters Art Museum",W.0178,100082312,parchment,275 f.,100 x 80,,,1.0,,,,,,,,,1490,1510,c.1500,,https://purl.stanford.edu/yk435gb3262/iiif/manifest
773,6215,"Baltimore, The Walters Art Museum",W.0179,,parchment,213 ff. (CCLL),100 x 75,,,1.0,,,,,,,,,1450,1480,c.1460-1470,,https://purl.stanford.edu/fx384wm8694/iiif/manifest
774,6216,"Baltimore, The Walters Art Mseum",W.0180,,parchment,268 ff. (CCLL),95 x 70,,,1.0,,,,,,,,,1450,1480,c.1460-1470,,https://purl.stanford.edu/qx197gr5341/iiif/manifest
775,6217,"Baltimore, The Walter Art Museurm",W.0181,,parchment,158+I ff. (+ 134bis) (CCLL),111 x 89,,,1.0,,,,,,,,,1450,1480,c.1460-1470,,https://purl.stanford.edu/gz912rc9711/iiif/manifest
776,6218,"kBaltimore, The Walters Art Museum",W.0182,,,,,,,,,,,,,,,,,,,,https://purl.stanford.edu/gv754dg7958/iiif/manifest
777,6219,"Baltimore, The alters Art Museum",W.0183,,parchment,132 ff. (CCLL),109 x 75,,,1.0,,,,,,,,,1450,1480,c.1460-1470,,https://purl.stanford.edu/xr480bs5669/iiif/manifest
778,6220,"Baltimore, The Walters Art Museum",W.0184,,parchment,177 ff. (CCLL),124 x 100,,,1.0,,,,,,,,,1450,1480,c.1460-1470,,https://purl.stanford.edu/kx876df8760/iiif/manifest
779,6221,"Baltimorje, The Walters Art Mseum",W.0185,,,286 ff. (CCLL),127 x 96,,,1.0,,,,,,,,,1400,1425,c.1410-1415,,https://purl.stanford.edu/by397hw6027/iiif/manifest
780,6222,"Baltiore, The Waltwers Art Museum",W.0186,,parchment,294 ff. (CCLL),130 x 102,,,1.0,,,,,,,,,1450,1470,c.1460,,https://purl.stanford.edu/fx476tb0662/iiif/manifest
781,6224,"Baltimore, The Waltes Art Museum",W.0189,,parchment,132 ff. (CCLL),168 x 122,,,1.0,,,,,,,Southern Netherlandish painter,,1470,1500,c.1480-1490,"Nederland, Sud|France, Nord",https://purl.stanford.edu/kf205rk4807/iiif/manifest
782,6225,"Boaltimore, The Wlters Art Museum",W.0190,,parchment,139 ff.,181 x 127,,,,,,,,,,,,1450,1480,c.1460-1470,"Nederland, Sud|Brugge",https://purl.stanford.edu/pb462wj5265/iiif/manifest
783,6227,"Baltiamore, The Walters Art Museum",W.0193,100082314,parchment,265 ff. (CCLL),212 x 155,,,1.0,,,,,,,"2 miniatures, bordures, 13 lettres historiées, lettres ornées (Defuncti)",,1440,1470,c.1450-1460,Hainaut,https://purl.stanford.edu/kt794yq9040/iiif/manifest
784,6228,"Baltiore, The Walters Art useum",W.0194,,parchment,116 ff. (CCLL),178 x 128,,,1.0,,,,,,,,,1490,1497,c.1490-1497 (before 1497 ?) (c.1470-1480 ?),Hainaut,https://purl.stanford.edu/bd845tn4821/iiif/manifest
785,6229,"Baltimore, The Walters Art Museum",W.0195,100082315,parchment,III+121+III ff. (CCLL),185 x 130,,,1.0,,,,,,,,,1460,1490,c.1470; c.1480,,https://purl.stanford.edu/vs234vd4916/iiif/manifest
786,6230,"Baltimore, The Walters Art Musum",W.0196,,parchment,187 ff. (CCLL),221 x 154,,,1.0,,,,,,,,,1460,1480,c.1470,,https://purl.stanford.edu/np517xz5161/iiif/manifest
787,6231,"Baltimore, The Waltwers Art fMuseum",W.0197,100082316,parchment,II+268+I ff. (CCLL),231 x 170,,,1.0,,,,,,,,,1450,1470,c.1460,,https://purl.stanford.edu/hw305bv4114/iiif/manifest
788,6232,"Baltimore, The Walters Art Museum",W.0202,,parchment,263 ff. (CCLL),101 x 77,,,1.0,,,,,,,,,1450,1480,c.1460-1470,,https://purl.stanford.edu/my189pm5441/iiif/manifest
789,6233,"Baltimore, The Walters Art Museum",W.0204,,parchment,301 ff. (CCLL),113 x 82,,,1.0,,,,,,,,,1460,1490,c.1470-1480,,https://purl.stanford.edu/wx114pq5623/iiif/manifest
790,6235,"Baltimore, The Walters Art Museum",W.0206,,,078 ff. (CCLL),92 x 67,,,1.0,,,,,,,,,1470,1470,,,https://purl.stanford.edu/dt765nv8976/iiif/manifest
791,6237,"Bnaltimore, The Walters Art Museum",W.0208,100082320,parchment,152 ff. (CCLL),116 x 91,,,1.0,,,,,,,,,1460,1480,c.1470,"Nederland, Sud",https://purl.stanford.edu/jb119rn7623/iiif/manifest
792,6240,"Baltimore, The Wlters Art Museum",W.0211,100082322,parchment,234 ff. (CCLL),118|125 x 94,,,1.0,,,,,,,,,1430,1450,c.1440 (c.1430-1440 ?),"Nederland, Sud|Brugge",https://purl.stanford.edu/yw595xk3647/iiif/manifest
